Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"The impact of Mood on Sports Flow State in football players: a chain mediating model of Psychological Resilience and Achievement Motivation in Competition","Football players' mood negatively impacts Sport Flow State, with Psychological Resilience and Achievement Motivation in Competition playing a chain mediating role in this relationship.","Jiang Li, Xiaofei Pan",2025,2,"To explore the relationship between Mood and Sport Flow State in football players, and to clarify the mediating roles of Psychological Resilience and Achievement Motivation in Competition. Convenience sampling was used to conduct a questionnaire survey on 388 football players. Use Profile of Mood State (POMS), Smooth Experience Scale-2 (SES-2), Connor Davidson Resilience Scale (CD-RISC), and Achievement Motivation Scale (AMS) to evaluate the Mood, Sport Flow State, Psychological Resilience, and Achievement Motivation in Competition of football players. Pearson correlation analysis and mediation analysis were used to investigate the relationship between the four variables of Mood, Sport Flow State, Psychological Resilience, and Achievement Motivation in Competition among football players. Football players' mood has a negative impact on Sport Flow State, Psychological Resilience, and Achievement Motivation In Competition, while Sport Flow State, Psychological Resilience, and Achievement Motivation In Competition have a mutually positive impact. Psychological Resilience has a positive impact on Achievement Motivation in Competition. The mediating effect of Psychological Resilience (POMS → CD-RISC → SES-2) accounts for 26.9% of the total effect (r = -0.014, 95% CI -0.020∼-0.009), Achievement Motivation in Competition (POMS → AMS → SES-2) accounts for 17.3% of the total effect (r = 0.009,95% CI -0.013∼-0.005), and the chain mediating effect of Psychological Resilience and Achievement Motivation in Competition (POMS → CD-RISC → AMS → SES-2) accounts for 32.6% of the total effect (r = -0.017, 95% CI -0.022∼-0.013). Football player Mood has a significant negative impact on Sport Flow State, but its actual predictive ability for Sport Flow State is very small. Psychological Resilience and Achievement Motivation in Competition play a chain mediating role in this relationship.","non-rct observational study","Frontiers in Psychology","2","10.3389/fpsyg.2025.1523400","https://consensus.app/papers/the-impact-of-mood-on-sports-flow-state-in-football-players-a-li-pan/360b1419bb5558b2a867637a1d133319/"
"Decoding On-Field Roles in Football: A Sociological Analysis Using Intelligent MCDM Algorithm With Fuzzy Information for Player Positioning and Technical-Tactical Behavior","The study proposes a new sociological framework based on the multicriteria decision-making (MCDM) algorithm, which effectively analyzes player roles and technical-tactical behavior in football, improving strategic planning and team performance.","Lu Yan, Nannan Wang, Rui Chen",2025,2,"Football is a challenging sport that demands an understanding of on-field roles, the nuances of player positioning, and clear player roles crucial for strategic advantage and achieving optimal team performance. The football strategy involves the careful planning and execution of player roles and actions to outmaneuver opponents and achieve team goals. However, effective strategies in football are challenging due to the unpredictable nature of the game, as it involves factors like real-time decision-making, varying player skills, and the fluid dynamics of play, which add to the game’s complexity. The traditional approaches often fail to capture these nuanced details. So, football strategy demands a decision-making model that considers these details and assists in achieving optimal team performance. This study introduces a new approach to analyzing player roles and technical-tactical behaviour by proposing a sociological framework based on the multicriteria decision-making (MCDM) algorithm. The proposed study defines the complex circular intuitionistic fuzzy Bonferroni mean (Comp-CIFBM) aggregation operator (AO), its properties, and then the decision algorithm which utilizes the proposed operator and accommodates the uncertainty and imprecision inherent in data of sociological and game performance analysis by defining a multi-faceted view of each player’s contribution to team dynamics. Moreover, to demonstrate the reliability of the proposed approach in refining the strategic insights (plans to improve team performance based on analyzing players performances, team dynamics, and opposition strategies) and supporting the decisions for on-field role allocation and tactical planning in football, a comprehensive comparison has been made with the prior approaches that highlight the proposed approach’s efficacy. Overall, the findings highlight the value of a decision-making framework for improving strategic planning, allowing for a more precise and adaptable approach to football management.","","IEEE Access","1","10.1109/access.2025.3540952","https://consensus.app/papers/decoding-onfield-roles-in-football-a-sociological-yan-wang/e8b173ace782582f8a23da63067b39e5/"
"Technical Review of The Role Physical Conditions in Football","Good physical condition is crucial in football, with strength, flexibility, speed, endurance, and anthopometric factors being crucial for playing and competing.","Awang Firmansyah, Reza Aziz Prasetya, Muchamad Arif Al Ardha",2021,9,"Football requires good physical condition in playing and competing. There are four phases in football training, namely physical, technical, tactical and mental. This study discusses the physical conditions required in the sport of football and was analyzed using the review method against references published online, related to physical conditions. In this research, it shows that the physical components in football are very influential in the game. Limited this study does not analyze matches. Research related to physical components has been widely used such as strength, flexibility, speed, endurance and anthopometric conditions, namely arm length, leg length.","literature review","","","10.26740/jossae.v6n1.p87-93","https://consensus.app/papers/technical-review-of-the-role-physical-conditions-in-firmansyah-prasetya/21efb35e07695fed984c1b465364168c/"
"Psychological readiness of football players for the match and its connection with self-esteem and competitive anxiety","Self-esteem and cognitive anxiety significantly predict football players' achievement motivation, goal setting, and coping with adversity in matches.","Adriana Kaplánová",2024,8,"","non-rct observational study","Heliyon","1","10.1016/j.heliyon.2024.e27608","https://consensus.app/papers/psychological-readiness-of-football-players-for-the-match-kapl%C3%A1nov%C3%A1/e98d933ded8f5701ae9a56b293bec9fd/"
"A Markov Framework for Learning and Reasoning About Strategies in Professional Soccer","This Markov model-based framework for soccer can optimize shot decision-making and defensive strategies, aiding teams in match preparations and potentially other sports.","Maaike Van Roy, Pieter Robberechts, Wen-Chi Yang, L. D. Raedt, Jesse Davis",2023,14,"Strategy-optimization is a fundamental element of dynamic and complex team sports such as soccer, American football, and basketball. As the amount of data that is collected from matches in these sports has increased, so has the demand for data-driven decisionmaking support. If alternative strategies need to be balanced, a data-driven approach can uncover insights that are not available from qualitative analysis. This could tremendously aid teams in their match preparations. In this work, we propose a novel Markov modelbased framework for soccer that allows reasoning about the specific strategies teams use in order to gain insights into the efficiency of each strategy. The framework consists of two components: (1) a learning component, which entails modeling a team’s offensive behavior by learning a Markov decision process (MDP) from event data that is collected from the team’s matches, and (2) a reasoning component, which involves a novel application of probabilistic model checking to reason about the efficacy of the learned strategies of each team. In this paper, we provide an overview of this framework and illustrate it on several use cases using real-world event data from three leagues. Our results show that the framework can be used to reason about the shot decision-making of teams and to optimise the defensive strategies used when playing against a particular team. The general ideas presented in this framework can easily be extended to other sports.","","J. Artif. Intell. Res.","1","10.1613/jair.1.13934","https://consensus.app/papers/a-markov-framework-for-learning-and-reasoning-about-roy-robberechts/6d0070d71524513794d923b2d6f2f2c8/"
"Physical Preparation Factors That Influence Technical and Physical Match Performance in Professional Australian Football.","Maximal aerobic running speed (MAS) improves running performance in Australian football players, while muscle soreness and three-week average high-speed running distance have small positive and negative effects on performance.","Samuel Ryan, A. Coutts, J. Hocking, Patrick A Dillon, A. Whitty, T. Kempton",2018,23,"To examine the collective influence of a range of physical preparation elements on selected performance measures during Australian football match play. Prospective and longitudinal. Data were collected from 34 professional Australian football players from the same club during the 2016 Australian Football League competition season. Match activity profiles and acute (7-d) and chronic (3-wk) training loads were collected using global positioning system devices. Training response was measured by well-being questionnaires completed prior to the main training session each week. Maximal aerobic running speed (MAS) was estimated by a 2-km time trial conducted during preseason. Coach ratings were collected from the senior coach and 4 assistants after each match on a 5-point Likert scale. Player ratings were obtained from a commercial statistics provider. Fifteen matches were analyzed. Linear mixed models were constructed to examine the collective influence of training-related factors on 4 performance measures. Muscle soreness had a small positive effect (ES: 0.12) on Champion Data rating points. Three-week average high-speed running distance had a small negative effect (ES: 0.14) on coach ratings. MAS had large to moderate positive effects (ES: 0.55 to 0.47) on relative total and high-speed running distances. Acute total and chronic average total running distance had small positive (ES: 0.13) and negative (ES: 0.14) effects on relative total and high-speed running distance performed during matches, respectively. MAS should be developed to enhance players' running performance during competition. Monitoring of physical preparation data may assist in reducing injury and illness and increasing player availability but not enhance football performance.","non-rct observational study","International journal of sports physiology and performance","1","10.1123/ijspp.2017-0640","https://consensus.app/papers/physical-preparation-factors-that-influence-technical-ryan-coutts/b785f9c66c3f5e0985d68c198c3a07a2/"
"Insights from elite soccer players: understanding the downward spiral and the complex dynamics of crises","Failure to meet team expectations often leads to prolonged crises in soccer teams, affecting individual and team levels, and crisis management training should focus on managing expectations and promoting positive motivation.","D. Jekauc, D. Vrančić, J. Fritsch",2024,5,"This study focused on identifying the factors that lead to prolonged crises in soccer teams and how players view the development of these crises. A qualitative analysis of interviews with six current and three former professional soccer players revealed that the failure to meet team expectations is often the starting point of crises, which can impact both individual and team levels. The issues at the individual level include anxiety, pressure, lack of self-confidence, somatic manifestations, negative body language, loss of motivation, rumination, and self-focus. At the team level, conflicts arise, the team atmosphere deteriorates, which is reflected in impaired communication and lack of cohesion. During soccer matches, on-field behavior frequently evolves into a more defensive mindset and a desire to avoid mistakes and responsibility, resulting in lower team performance. Poor results usually ensue, perpetuating and even intensifying the crisis process which players refer to as a vicious circle, negative spiral, or vortex. Societal factors such as media landscape, coronavirus disease 2019 (COVID-19) pandemic, club structures, or fans, and individual factors such as crisis experiences, players’ resilience, family cohesion, or support from friends affect the development of crises. The study’s insights illustrate the negative impacts of pressure on the team’s emotional state and social interaction, leading to a downward spiral, and thus, reinforcing the crisis process. The study concludes that crisis management training and support should focus on managing expectations, promoting positive affective states, and supporting healthy motivation among team members, and should expand coaches’ crisis competency training.","","German Journal of Exercise and Sport Research","2","10.1007/s12662-024-00968-0","https://consensus.app/papers/insights-from-elite-soccer-players-understanding-the-jekauc-vran%C4%8Di%C4%87/6764be28cae05063bebc481b1f8e11ee/"
"A framework to explain the in-match decision-making of elite Australian football coaches.","Elite Australian football coaches make effective decisions during matches using a six-stage framework, which can help improve research interventions and coach improvement.","Mitchell F Aarons, Will Vickery, L. Bruce, Christopher M. Young, D. Dwyer",2023,5,"","non-rct observational study","Psychology of sport and exercise","1","10.1016/j.psychsport.2023.102439","https://consensus.app/papers/a-framework-to-explain-the-inmatch-decisionmaking-of-elite-aarons-vickery/2a3809683e285d9089ef03905a3fcafc/"
"Comprehensive training for young football players: Technical, physical, and psychological readiness for global competitions","Adapting training programs to individual needs and considering sociocultural context significantly improves technical and tactical indicators in young football players, ensuring their competitiveness in international competitions.","Valerii Kyselov, Anna Sakhnenko, Vita Vorona, Iryna Skrypka, Larysa Yeremenko",2025,0,"This study aimed to identify the main factors influencing the effectiveness of training football players in adolescence to achieve high results at the international level. The study used methods of analysing scientific literature, observing training processes and competitions, and experimental approaches to assessing athletes’ physical and psychological fitness. It included 136 football players: men (n = 92; 67.65%) and women (n = 44; 32.35%). The age range was 14–22 years old and the average age 19.6. The results showed that adapting training programmes to the individual needs of athletes and considering the sociocultural context plays a key role in ensuring their competitiveness in international competitions. The analysis of technical and tactical indicators of young football players before and after the implementation of practical recommendations showed significant improvements: an increase in the number of short and medium passes forward (from 74±23 to 105±24, p<0.05) and backward (from 62±19 to 84±25, p<0.05), which indicates better ball control and pace of the game. The decrease in technical errors confirms the improvement in technical stability, while the number of long passes remained unchanged (p>0.05), probably due to their selective use. The study’s results may be helpful for coaches, sports psychologists, and sports institution managers in developing training programmes for young athletes.","","SPORT TK-Revista EuroAmericana de Ciencias del Deporte","3","10.6018/sportk.662211","https://consensus.app/papers/comprehensive-training-for-young-football-players-kyselov-sakhnenko/cc6ade3b85755ba9a0b6bb00cd69e5cc/"
"Beyond physical ability—predicting women’s football performance from psychological factors","Perceived mastery climate and extraversion are the only significant predictors of women's football match performance, with team climate facilitated by coaches being more important than individual psychological factors.","Susann Dahl Pettersen, M. Martinussen, B. Handegård, L. Rasmussen, Roman A Koposov, F. Adolfsen",2023,6,"Even though there is a clear agreement among researchers that psychological factors are a vital part of a football player's performance, the topic has not been investigated thoroughly. The present study aimed to examine the predictive value of psychological factors on female football players' match performance. A sample of 156 players from the top two leagues in Norway completed the following questionnaires: Perceived Motivational Climate in Sport Questionnaire 2 (PMCSQ-2), Big Five Inventory (BFI-20), Self-Regulated Learning questionnaire, and Grit-S and Sport Mental Toughness Questionnaire (SMTQ). Match performance data were collected from the online database of the performance analysis company InStat. Results from a linear mixed model analysis showed that perceived mastery climate and extraversion were the only significant predictors of performance. Other relevant indicators, such as mental toughness, self-regulated learning, and grit, did not predict performance. These findings suggest that the team climate facilitated by coaches may be more important for predicting match performance than individual psychological factors.","non-rct observational study","Frontiers in Psychology","2","10.3389/fpsyg.2023.1146372","https://consensus.app/papers/beyond-physical-ability%E2%80%94predicting-women-%E2%80%99-s-football-pettersen-martinussen/127dbbf65654595c9e35841d9a7f49a8/"
